User	64	4	0	1578.38
User	64	4	1	1221.51
User	64	4	2	850.04
User	64	4	3	875.48
User	64	4	4	1135.57
User	64	4	5	869.76
User	64	4	6	629.64
User	64	4	7	758.81
User	128	32	0	655.45
User	128	32	1	359.33
User	128	32	2	506.53
User	128	32	3	455.90
User	128	32	4	470.19
User	128	32	5	632.41
User	128	32	6	561.77
User	128	32	7	400.26
User	64	16	0	768.05
User	64	16	1	498.52
User	64	16	2	467.50
User	64	16	3	558.56
User	64	16	4	516.43
User	64	16	5	435.60
User	64	16	6	473.82
User	64	16	7	545.25
User	64	32	0	457.63
User	64	32	1	313.19
User	64	32	2	358.06
User	64	32	3	318.60
User	64	32	4	360.12
User	64	32	5	392.69
User	64	32	6	393.00
User	64	32	7	352.46
User	256	16	0	711.35
User	256	16	1	766.24
User	256	16	2	705.26
User	256	16	3	922.26
User	256	16	4	631.98
User	256	16	5	792.00
User	256	16	6	641.94
User	256	16	7	643.06
User	256	32	0	613.62
User	256	32	1	414.76
User	256	32	2	518.60
User	256	32	3	412.52
User	256	32	4	691.47
User	256	32	5	586.75
User	256	32	6	482.34
User	256	32	7	452.55
User	128	16	0	779.41
User	128	16	1	660.61
User	128	16	2	805.08
User	128	16	3	710.11
User	128	16	4	928.52
User	128	16	5	546.41
User	128	16	6	980.37
User	128	16	7	593.56
User	128	4	0	719.51
User	128	4	1	843.20
User	128	4	2	832.64
User	128	4	3	1094.04
User	128	4	4	848.39
User	128	4	5	970.25
User	128	4	6	1081.66
User	128	4	7	825.92
User	512	32	0	779.92
User	512	32	1	594.77
User	512	32	2	1163.05
User	512	32	3	1448.00
User	512	32	4	737.94
User	512	32	5	597.07
User	512	32	6	953.97
User	512	32	7	1056.98
User	512	16	0	994.50
User	512	16	1	941.12
User	512	16	2	883.18
User	512	16	3	802.10
User	512	16	4	785.56
User	512	16	5	854.63
User	512	16	6	687.99
User	512	16	7	804.50
User	256	8	0	978.06
User	256	8	1	1230.27
User	256	8	2	1268.41
User	256	8	3	1033.54
User	256	8	4	886.83
User	256	8	5	1002.22
User	256	8	6	1512.50
User	256	8	7	1199.66
User	256	4	0	1106.51
User	256	4	1	903.53
User	256	4	2	907.29
User	256	4	3	999.71
User	256	4	4	996.18
User	256	4	5	1312.11
User	256	4	6	1390.52
User	256	4	7	998.69
User	128	8	0	862.74
User	128	8	1	911.97
User	128	8	2	1212.16
User	128	8	3	1630.98
User	128	8	4	852.04
User	128	8	5	1450.58
User	128	8	6	1070.72
User	128	8	7	833.73
User	64	8	0	985.76
User	64	8	1	1081.17
User	64	8	2	815.55
User	64	8	3	540.88
User	64	8	4	530.58
User	64	8	5	735.55
User	64	8	6	662.34
User	64	8	7	1061.55
User	512	4	0	1244.31
User	512	4	1	1643.57
User	512	4	2	1126.22
User	512	4	3	1276.09
User	512	4	4	1270.34
User	512	4	5	1671.00
User	512	4	6	1256.90
User	512	4	7	1238.67
User	512	8	0	1427.01
User	512	8	1	774.12
User	512	8	2	1906.39
User	512	8	3	1672.21
User	512	8	4	1318.49
User	512	8	5	1318.09
User	512	8	6	2130.85
User	512	8	7	1788.71
