Bach,64,4,1,1449.7206211090088
Bach,64,4,2,581.9594860076904
Bach,64,4,3,1047.093391418457
Bach,64,4,4,685.6362819671631
Bach,128,4,1,1020.8845138549805
Bach,128,4,2,1068.7263011932373
Bach,128,4,3,831.8438529968262
Bach,128,4,4,785.7542037963867
Bach,256,16,1,1704.5269012451172
64,4,1,1126.5482902526855
64,4,2,729.3810844421387
64,4,3,997.8625774383545
64,4,4,823.5187530517578
64,4,1,1843.7707424163818
64,4,2,869.7545528411865
64,4,3,1069.1099166870117
64,4,4,907.4113368988037
128,8,1,965.7688140869141
128,8,2,1008.9669227600098
128,8,3,597.5382328033447
128,8,4,728.5826206207275
64,4,1,1388.7355327606201
64,4,2,644.6032524108887
64,4,3,544.013261795044
64,4,4,683.9673519134521
512,32,1,1724.2822647094727
512,32,2,1033.578872680664
512,32,3,821.357011795044
512,32,4,793.1444644927979
